"id","PCC","AgencyName","GDSGroup","GDS","IATA","TVPNewBusinessExecutive","TVPAccountManagerExecutive","BusinessType","City","UF","Region","MIDT","TSO2013","TSO2014","TSO2015","TSO12Months"
"01LF5752440","01LF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","416","          -   ","          -   ","          -   ","  "
"4X2C5752440","4X2C","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","434","          -   ","          -   ","          -   ","  "
"Z96F5752440","Z96F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","543","          -   ","          -   ","          -   ","  "
"6F6B5752440","6F6B","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","399","          -   ","          -   ","          -   ","  "
"B2QF5752440","B2QF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","447","          -   ","          -   ","          -   ","  "
"A7YG9999999","A7YG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","PORTO ALEGRE","RS","SUL","538","          -   ","          -   ","          -   ","  "
"B4ZH9999999","B4ZH","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","RECIFE","PE","NORDESTE","785","","          -   ","          -   ",""
"W56G9999999","W56G","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","CURITIBA","PR","SUL","360","          -   ","          -   ","          -   ","  "
"FX8F5752440","FX8F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","384","          -   ","          -   ","          -   ","  "
"UD8F5752440","UD8F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","624","          -   ","          -   ","          -   ","  "
"F8JH9999999","F8JH","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","SERRA","ES","SUDESTE","656","","          -   ","          -   ",""
"9TDA5751540","9TDA","ASTRAL PASSAGENS E TURISMO","SAB","SAB","5751540","PROSPECT","PROSPECT","TOUR OPERATOR","CURITIBA","PR","SUL","179","          -   ","          -   ","          -   ","  "
"H1FF5752440","H1FF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","561","          -   ","          -   ","          -   ","  "
"M7KG9999999","M7KG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","SAO PAULO","SP","SUDESTE","385","          -   ","          -   ","          -   ","  "
"DQ975797741","DQ97","STB","SAB","SAB","5797741","PROSPECT","RENATA","TOUR OPERATOR","FLORIANOPOLIS","SC","SUL","362","          -   ","          -   ","          -   ","  "
"H2ZG9999999","H2ZG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","BELO HORIZONTE","MG","SUDESTE","688","          -   ","          -   ","          -   ","  "
"M7LG9999999","M7LG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","358","          -   ","          -   ","          -   ","  "
"L0MG9999999","L0MG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","CAMPO GRANDE","MS","CENTRO-OESTE","485","          -   ","          -   ","          -   ","  "
"P8YG9999999","P8YG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","BARBACENA","MG","SUDESTE","318","          -   ","          -   ","          -   ","  "
"0WOF5752440","0WOF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","420","          -   ","          -   ","          -   ","  "
"2J7F5752440","2J7F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","612","          -   ","          -   ","          -   ","  "
"WC0B5752440","WC0B","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","574","          -   ","          -   ","          -   ","  "
"VM5F5752440","VM5F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","409","          -   ","          -   ","          -   ","  "
"1TDF5752440","1TDF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","258","          -   ","          -   ","          -   ","  "
"H16G9999999","H16G","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","PERUIBE","SP","SUDESTE","458","          -   ","          -   ","          -   ","  "
"M7NG9999999","M7NG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","TABOAO DA SERRA","SP","SUDESTE","429","          -   ","          -   ","          -   ","  "
"8MYF5752542","8MYF","INFORMATION PLANET ","SAB","SAB","5752542","PROSPECT","RENATA","TOUR OPERATOR","SAO PAULO","SP","SUDESTE","231","          -   ","          -   ","          -   ","  "
"KK0F5752440","KK0F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","457","          -   ","          -   ","          -   ","  "
